# wavelength (nm),nmf_reduced,nmf_oxidized,nmf_semiquinone,pure_oxidized,pure_reduced
3.360000000000000000e+02,4.159198033036306530e-01,7.814712589639950802e-02,1.304281355005684206e-01,2.800000000000000266e-01,2.459999999999999964e-01
3.370000000000000000e+02,4.067109850641846269e-01,7.975440594186447574e-02,1.272235257839397782e-01,2.770000000000000240e-01,2.389999999999999902e-01
3.380000000000000000e+02,3.986509663212720600e-01,8.342979963539393085e-02,1.196830163450229717e-01,2.760000000000000231e-01,2.349999999999999867e-01
3.390000000000000000e+02,3.902325109592664210e-01,8.715878998152248869e-02,1.172734293471488082e-01,2.750000000000000222e-01,2.309999999999999831e-01
3.400000000000000000e+02,3.849608287975538334e-01,9.039762902145649648e-02,1.095126602380985803e-01,2.750000000000000222e-01,2.269999999999999796e-01
3.410000000000000000e+02,3.803036575718975465e-01,9.419963188418842281e-02,1.016455650101768665e-01,2.750000000000000222e-01,2.229999999999999760e-01
3.420000000000000000e+02,3.752544950715677174e-01,9.726043506588789855e-02,9.612371124706182990e-02,2.740000000000000213e-01,2.219999999999999751e-01
3.430000000000000000e+02,3.691294771782103190e-01,1.019262882219046928e-01,9.943555442148116486e-02,2.750000000000000222e-01,2.189999999999999725e-01
3.440000000000000000e+02,3.656506820427926630e-01,1.030303879056208016e-01,9.326285568681035032e-02,2.750000000000000222e-01,2.169999999999999707e-01
3.450000000000000000e+02,3.622313769260242511e-01,1.068514011437017991e-01,8.646997764379588114e-02,2.760000000000000231e-01,2.139999999999999680e-01
3.460000000000000000e+02,3.599533154942672342e-01,1.098433598901885772e-01,7.734257343790079675e-02,2.780000000000000249e-01,2.119999999999999662e-01
3.470000000000000000e+02,3.601830226652463218e-01,1.116065380288900344e-01,6.289666792656008198e-02,2.810000000000000275e-01,2.129999999999999671e-01
3.480000000000000000e+02,3.589859896306024090e-01,1.159239328800334284e-01,5.719259672697882962e-02,2.820000000000000284e-01,2.119999999999999662e-01
3.490000000000000000e+02,3.580609259036403036e-01,1.189976738875370560e-01,5.050200485521715021e-02,2.840000000000000302e-01,2.109999999999999654e-01
3.500000000000000000e+02,3.558823054490752869e-01,1.216254071438131606e-01,4.786724025821655071e-02,2.850000000000000311e-01,2.090000000000000191e-01
3.510000000000000000e+02,3.540722472314415392e-01,1.232524893844472585e-01,4.568736051759065414e-02,2.859999999999999765e-01,2.090000000000000191e-01
3.520000000000000000e+02,3.528993958339626813e-01,1.289208027808619594e-01,3.388012030275244085e-02,2.899999999999999800e-01,2.070000000000000173e-01
3.530000000000000000e+02,3.503453689789344239e-01,1.331010257262650043e-01,3.151603556579252174e-02,2.929999999999999827e-01,2.050000000000000155e-01
3.540000000000000000e+02,3.480426085532561387e-01,1.354677639607662354e-01,3.669762572829489422e-02,2.929999999999999827e-01,2.030000000000000138e-01
3.550000000000000000e+02,3.462763104579792417e-01,1.367982719218037435e-01,2.181900042228075709e-02,2.949999999999999845e-01,2.030000000000000138e-01
3.560000000000000000e+02,3.454003621597955820e-01,1.382835650139773997e-01,2.024700087692695924e-02,2.959999999999999853e-01,2.020000000000000129e-01
3.570000000000000000e+02,3.417672021877501964e-01,1.421981302678436976e-01,2.964022998641881873e-02,2.959999999999999853e-01,2.010000000000000120e-01
3.580000000000000000e+02,3.399360104403665872e-01,1.444824546585711245e-01,2.862820227320881164e-02,2.979999999999999871e-01,1.990000000000000102e-01
3.590000000000000000e+02,3.380283519657558133e-01,1.454842859532330113e-01,2.582735485712809795e-02,2.979999999999999871e-01,1.970000000000000084e-01
3.600000000000000000e+02,3.360427333248640069e-01,1.474684991660159539e-01,2.539847040083056950e-02,2.969999999999999862e-01,1.970000000000000084e-01
3.610000000000000000e+02,3.325871865476628941e-01,1.487024359112432137e-01,3.279105889754293374e-02,2.959999999999999853e-01,1.960000000000000075e-01
3.620000000000000000e+02,3.296863625960415600e-01,1.490791043401170080e-01,2.949450626473943890e-02,2.949999999999999845e-01,1.930000000000000049e-01
3.630000000000000000e+02,3.277288622331521184e-01,1.493531894579757102e-01,2.832551135447784058e-02,2.949999999999999845e-01,1.910000000000000031e-01
3.640000000000000000e+02,3.266745861219255698e-01,1.507576474413350187e-01,2.369107957093087580e-02,2.949999999999999845e-01,1.910000000000000031e-01
3.650000000000000000e+02,3.248900030604218725e-01,1.481145474681689611e-01,2.187165558151822967e-02,2.929999999999999827e-01,1.900000000000000022e-01
3.660000000000000000e+02,3.214799078008666600e-01,1.485582720506521126e-01,2.494962097276083590e-02,2.909999999999999809e-01,1.880000000000000004e-01
