7/8/2000 7:16 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.04333	
//WLCalib: 261S 	-0.46000	
//WLCalib: 362S 	-0.29000	
//WLCalib: 484S 	-0.24000	
//WLCalib: 529S 	-0.30000	
//WLCalib: 823S 	-0.76000	
//QSpecEnd: 
462.0	0.067
462.5	0.067
463.0	0.067
463.5	0.066
464.0	0.066
464.5	0.066
465.0	0.066
465.5	0.065
466.0	0.065
466.5	0.065
467.0	0.065
467.5	0.064
468.0	0.064
468.5	0.064
469.0	0.064
469.5	0.064
470.0	0.064
470.5	0.064
471.0	0.064
471.5	0.064
472.0	0.064
472.5	0.064
473.0	0.063
473.5	0.063
474.0	0.063
474.5	0.063
475.0	0.063
475.5	0.062
476.0	0.062
476.5	0.062
477.0	0.062
477.5	0.062
478.0	0.061
478.5	0.061
479.0	0.061
479.5	0.061
480.0	0.060
480.5	0.061
481.0	0.061
481.5	0.061
482.0	0.062
482.5	0.062
483.0	0.062
483.5	0.062
484.0	0.062
484.5	0.063
485.0	0.063
485.5	0.063
486.0	0.063
486.5	0.062
487.0	0.061
487.5	0.061
488.0	0.060
488.5	0.060
489.0	0.060
489.5	0.060
490.0	0.060
490.5	0.060
491.0	0.060
491.5	0.060
492.0	0.060
492.5	0.060
493.0	0.060
493.5	0.060
494.0	0.060
494.5	0.060
495.0	0.060
495.5	0.060
496.0	0.059
496.5	0.059
497.0	0.058
497.5	0.058
498.0	0.058
498.5	0.059
499.0	0.059
499.5	0.059
500.0	0.059
500.5	0.059
501.0	0.059
501.5	0.059
502.0	0.058
502.5	0.058
503.0	0.059
503.5	0.059
504.0	0.059
504.5	0.059
505.0	0.059
505.5	0.059
506.0	0.059
506.5	0.058
507.0	0.058
507.5	0.058
508.0	0.058
508.5	0.057
509.0	0.057
509.5	0.057
510.0	0.056
510.5	0.057
511.0	0.057
511.5	0.057
512.0	0.057
512.5	0.057
513.0	0.058
513.5	0.057
514.0	0.057
514.5	0.056
515.0	0.056
515.5	0.057
516.0	0.057
516.5	0.057
517.0	0.057
517.5	0.057
518.0	0.057
518.5	0.057
519.0	0.057
519.5	0.057
520.0	0.057
520.5	0.057
521.0	0.057
521.5	0.057
522.0	0.057
522.5	0.057
523.0	0.057
523.5	0.057
524.0	0.057
524.5	0.056
525.0	0.056
525.5	0.056
526.0	0.056
526.5	0.056
527.0	0.057
527.5	0.057
528.0	0.058
528.5	0.058
529.0	0.057
529.5	0.057
530.0	0.056
530.5	0.056
531.0	0.055
531.5	0.055
532.0	0.056
532.5	0.056
533.0	0.057
533.5	0.057
